"CaseId","WEIGHT","DV1A","DV1B","DV1C","DV1D","DV2A","DV2B","DV2C","DV2D","DV3A","DV3B","DV3C","DV3D","DV4A","DV4B","DV4C","DV4D","GENDER","AGE4","RACETHNICITY","EDUC5","INCOME4","METRO"
14,1.0245762012,"Yes","Yes","Yes","Yes","Unsure","Unsure","Yes","Unsure","Yes","Unsure","Unsure","Unsure","Unsure","Unsure","Yes","Yes","Female","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
15,0.5110762545,"Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Female","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
16,0.1443982704,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Female","30-44","Asian-Pacific Islander, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
17,1.759184999,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","Asian-Pacific Islander, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
18,0.3467330982,"Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Female","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
19,0.7777368312,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","Less than $30,000","Metro Area"
20,0.8396423407,"Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No","Yes","Yes","Female","18-29","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Non-Metro Area"
21,0.5172439768,"Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Female","60+","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
22,0.9834487679,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","Asian-Pacific Islander, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
23,0.5214107241,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
24,0.5243389235,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","Male","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
25,1.5300725145,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Female","30-44","Asian-Pacific Islander, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Non-Metro Area"
26,0.279846364,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
27,0.3731423525,"Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Male","45-59","Other, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Non-Metro Area"
28,0.3388258103,"Yes","No","Yes","Yes","Unsure","Yes","No","Unsure","Yes","Yes","No","No","Yes","Unsure","Yes","Unsure","Female","60+","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Non-Metro Area"
29,0.4876725057,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Male","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
30,0.8243392142,"Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Yes","Unsure","Unsure","Unsure","Unsure","Unsure","Female","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
31,1.9144110929,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Unsure","Unsure","Unsure","No","Unsure","Yes","Yes","Female","60+","White, non-Hispanic","Less than HS","Less than $30,000","Metro Area"
32,1.8505125637,"Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Male","45-59","White, non-Hispanic","HS graduate or equivalent","$100,000 or more","Metro Area"
33,1.6598200562,"Unsure","No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
34,0.4047459277,"Yes","Yes","Yes","Yes","No","Yes","No","Unsure","Unsure","Unsure","Unsure","Unsure","No","No","Yes","Yes","Female","30-44","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
35,0.7092712745,"Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Unsure","No","Yes","Yes","Female","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
36,0.6274161761,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","No","No","No","Yes","Yes","Female","60+","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
37,0.7352412226,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Unsure","No","Yes","Unsure","Female","30-44","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
38,0.258016262,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
39,1.0297237835,"Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unsure","Male","30-44","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
40,0.5222619129,"Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Male","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
41,0.8355527876,"Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Yes","Yes","Unsure","Unsure","Yes","Unsure","Yes","Unsure","Male","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
42,0.3194997691,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Male","45-59","2+, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
43,2.9391048091,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
44,0.3198637577,"Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Male","30-44","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Non-Metro Area"
45,1.4252343229,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
46,0.36024692,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","30-44","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
47,0.4060891578,"Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","Female","45-59","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Metro Area"
48,0.4611859694,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Unsure","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
49,0.5406258618,"Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Female","30-44","2+, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
50,0.7002377731,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
51,1.1588853047,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Male","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
52,4.8711552261,"Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
53,0.81395641,"Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","30-44","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
54,0.4135117982,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","18-29","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Non-Metro Area"
55,0.739033144,"Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Yes","Yes","Male","30-44","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
56,1.1991467066,"Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Female","60+","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
57,1.7527277817,"Yes","Unsure","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
58,2.2390538312,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Female","60+","Other, non-Hispanic","Post grad study/professional degree","Less than $30,000","Metro Area"
59,0.9728687715,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Male","45-59","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Non-Metro Area"
60,1.0524047949,"Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Female","30-44","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
61,1.2293278678,"Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Yes","Yes","Unsure","Yes","Unsure","Unsure","Yes","Yes","Unsure","Female","45-59","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
62,0.6709824631,"Unsure","Unsure","Yes","Unsure","No","No","Unsure","Yes","Unsure","Unsure","Unsure","Unsure","No","No","Yes","No","Female","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
63,1.0849812295,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Male","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
64,0.1179219168,"Yes","Yes","Yes","Yes","No","Unsure","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Female","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
65,1.6391640546,"Yes","No","Yes","Yes","No","Unsure","Yes","Yes","Yes","Yes","Yes","No","Unsure","No","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Non-Metro Area"
66,0.3783743871,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
67,1.2870588092,"Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Unsure","Yes","Unsure","Female","30-44","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
68,0.7284763541,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","Asian-Pacific Islander, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
69,0.2919313315,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Unsure","No","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
70,0.2578639059,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Unsure","SKIPPED ON WEB","Unsure","No","Yes","Yes","Yes","Unsure","Female","30-44","White, non-Hispanic","Bachelor's degree","Less than $30,000","Metro Area"
71,0.8006545906,"Yes","Yes","Yes","Yes","Unsure","Unsure","Yes","Yes","Unsure","Yes","Unsure","No","No","Unsure","Yes","Yes","Female","60+","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
72,3.8066170127,"Yes","No","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Male","60+","White, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
73,0.597294244,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
74,0.3528344072,"Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Unsure","Unsure","Unsure","Unsure","Yes","Unsure","Female","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
75,1.6093405013,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","Female","45-59","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
76,0.3919338239,"Yes","No","Yes","Yes","No","No","Yes","Unsure","Yes","No","No","No","Yes","No","Yes","No","Male","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
77,0.2183981514,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Metro Area"
78,1.158376217,"Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","Female","60+","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
79,0.6592961165,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
80,0.6767584251,"Yes","Unsure","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Unsure","Unsure","Yes","Unsure","Female","30-44","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Non-Metro Area"
81,0.8893821767,"Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","No","Unsure","Unsure","No","No","Unsure","No","No","Male","60+","White, non-Hispanic","Bachelor's degree","$100,000 or more","Non-Metro Area"
82,0.3869625845,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
83,0.5258568599,"Yes","Yes","Yes","Yes","No","Unsure","Yes","Yes","No","Yes","Unsure","Unsure","No","No","Yes","No","Male","60+","White, non-Hispanic","Post grad study/professional degree","$30,000 to under $60,000","Non-Metro Area"
84,0.5418867773,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Non-Metro Area"
85,3.2549600636,"Unsure","Unsure","Unsure","Unsure","No","No","No","No","Yes","No","No","No","No","No","No","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","$100,000 or more","Non-Metro Area"
86,0.9922398932,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
87,0.2975268656,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Unsure","Unsure","Unsure","Yes","Yes","Female","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
88,1.6536429052,"Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","Male","45-59","White, non-Hispanic","Bachelor's degree","$60,000 to under $100,000","Metro Area"
89,0.6173237697,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","60+","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
90,0.9436563003,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Unsure","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
91,0.580272897,"Yes","No","No","Yes","No","Unsure","Yes","Unsure","Yes","No","No","Unsure","Unsure","Unsure","Unsure","Unsure","Male","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
92,0.5400984075,"Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Male","60+","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
93,1.2708433869,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
94,0.7240308689,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Some college/ associates degree","$100,000 or more","Non-Metro Area"
95,0.4409907007,"Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","No","Female","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Metro Area"
96,0.5712715493,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unsure","Yes","Unsure","Male","18-29","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
97,1.0417196945,"Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Unsure","Unsure","Unsure","Unsure","Unsure","Yes","No","Female","30-44","2+, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
98,0.4506411922,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Male","30-44","White, non-Hispanic","Less than HS","Less than $30,000","Metro Area"
99,0.7347974447,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","$100,000 or more","Non-Metro Area"
100,1.0496803637,"Yes","No","Yes","Yes","SKIPPED ON WEB","SKIPPED ON WEB","SKIPPED ON WEB","SKIPPED ON WEB","No","Yes","No","No","No","No","Yes","No","Female","60+","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Non-Metro Area"
101,3.4187052589,"Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Unsure","Unsure","Yes","Unsure","Male","45-59","White, non-Hispanic","HS graduate or equivalent","$100,000 or more","Metro Area"
102,0.6233396636,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Unsure","Unsure","Unsure","Yes","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$30,000 to under $60,000","Metro Area"
103,0.4297319525,"Yes","Unsure","Yes","Yes","No","No","Yes","Yes","No","Unsure","Unsure","Unsure","No","No","Yes","Unsure","Female","45-59","White, non-Hispanic","Some college/ associates degree","$60,000 to under $100,000","Non-Metro Area"
104,1.1342518931,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Female","45-59","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Metro Area"
105,0.9076573217,"Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Female","45-59","White, non-Hispanic","HS graduate or equivalent","$60,000 to under $100,000","Non-Metro Area"
106,2.3455206167,"Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","SKIPPED ON WEB","Female","60+","White, non-Hispanic","HS graduate or equivalent","$30,000 to under $60,000","Metro Area"
107,1.3059421733,"Yes","Yes","Yes","Yes","Unsure","Unsure","Yes","Yes","No","Yes","No","No","Unsure","Unsure","Yes","Unsure","Female","30-44","Asian-Pacific Islander, non-Hispanic","HS graduate or equivalent","Less than $30,000","Metro Area"
108,0.3957155817,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
109,0.4212520688,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
110,0.8991835272,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Female","45-59","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
111,1.2855801177,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","45-59","Asian-Pacific Islander, non-Hispanic","Post grad study/professional degree","$100,000 or more","Metro Area"
112,0.3495227047,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unsure","Yes","Yes","Yes","Yes","Female","60+","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
113,1.6302282771,"Yes","No","No","Yes","No","No","No","Unsure","Yes","Unsure","Unsure","Unsure","No","No","Yes","Unsure","Female","30-44","2+, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Non-Metro Area"
114,0.3747710731,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
115,0.699207674,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Male","60+","White, non-Hispanic","Some college/ associates degree","$30,000 to under $60,000","Non-Metro Area"
116,1.045945314,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
117,1.0431688721,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Male","60+","White, non-Hispanic","Post grad study/professional degree","$60,000 to under $100,000","Metro Area"
118,0.8302183289,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Male","30-44","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Metro Area"
119,0.2106207027,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Female","30-44","White, non-Hispanic","Bachelor's degree","$100,000 or more","Metro Area"
120,0.5450147333,"Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","Unsure","No","Yes","Yes","Female","30-44","White, non-Hispanic","Some college/ associates degree","Less than $30,000","Metro Area"
